,time,open,high,low,close,volume
39,2024-06-26,60.94,60.94,60.29,60.38,2488180
40,2024-06-27,60.38,60.75,60.29,60.47,2710114
41,2024-06-28,60.66,61.12,60.47,60.66,2735071
42,2024-07-01,60.94,61.12,60.47,61.12,1911478
43,2024-07-02,61.12,61.4,60.94,61.31,2044987
44,2024-07-03,61.31,61.4,61.12,61.31,1334249
45,2024-07-04,61.4,61.95,61.4,61.49,2691198
46,2024-07-05,61.49,62.51,61.49,62.23,4183952
47,2024-07-08,62.32,62.69,62.05,62.6,4946406
48,2024-07-09,62.6,62.79,62.23,62.51,5048980
49,2024-07-10,62.51,62.79,61.86,61.86,3884733
50,2024-07-11,61.95,62.05,61.4,61.4,3789635
51,2024-07-12,61.49,61.68,61.21,61.4,2081812
52,2024-07-15,61.4,61.95,61.31,61.31,2157757
53,2024-07-16,61.49,61.77,61.21,61.21,2245463
54,2024-07-17,61.31,61.58,60.75,60.84,3468308
55,2024-07-18,61.12,61.12,60.66,61.03,2284658
56,2024-07-19,61.03,61.03,60.29,60.47,3396038
57,2024-07-22,60.47,61.12,60.38,60.56,2657788
58,2024-07-23,60.75,61.4,60.66,61.03,3780379
59,2024-07-24,60.94,61.21,60.75,60.75,3615591
60,2024-07-25,60.75,60.84,60.47,60.75,1958885
61,2024-07-26,60.56,61.31,60.56,60.94,2976837
62,2024-07-29,61.31,62.6,61.03,62.23,5785374
63,2024-07-30,62.32,63.34,61.95,62.69,6381582
64,2024-07-31,63.44,66.68,63.44,66.31,21167413
65,2024-08-01,66.49,66.58,64.92,65.1,8872145
66,2024-08-02,64.82,66.58,64.82,66.21,10298482
67,2024-08-05,65.75,65.94,63.44,64.27,12162219
68,2024-08-06,65.1,67.88,64.82,67.33,13505235
69,2024-08-07,67.79,68.34,67.05,68.34,10709270
70,2024-08-08,68.44,68.9,66.86,67.33,5817168
71,2024-08-09,67.42,67.97,67.14,67.88,4530433
72,2024-08-12,67.88,68.9,67.42,67.6,5808119
73,2024-08-13,67.42,68.9,67.33,68.34,6740336
74,2024-08-14,68.53,68.62,67.88,68.53,5459112
75,2024-08-15,68.53,69.08,68.25,68.34,4258433
76,2024-08-16,68.53,68.62,67.79,68.34,7396631
77,2024-08-19,68.53,70.38,68.34,70.38,7924678
78,2024-08-20,70.38,70.57,69.73,70.01,4181936
79,2024-08-21,69.64,70.47,69.55,69.73,3994706
80,2024-08-22,70.38,70.38,68.16,68.71,6031982
81,2024-08-23,69.36,70.01,68.9,69.36,3310515
82,2024-08-26,69.36,69.46,67.88,67.97,6329637
83,2024-08-27,67.97,68.34,67.23,68.07,4269971
84,2024-08-28,68.16,68.53,67.79,68.44,3355013
85,2024-08-29,68.25,68.53,67.97,68.07,2044649
86,2024-08-30,68.16,69.27,67.97,68.44,3679027
87,2024-09-04,67.88,68.99,67.7,68.81,2842048
88,2024-09-05,68.81,69.83,68.62,69.18,5862150
89,2024-09-06,69.36,69.92,69.27,69.83,3645061
90,2024-09-09,69.55,69.55,68.71,69.27,2641519
91,2024-09-10,69.27,69.92,68.81,69.36,3335353
92,2024-09-11,69.27,69.55,68.44,69.08,3167882
93,2024-09-12,69.46,69.64,68.9,69.18,2054428
94,2024-09-13,69.27,69.27,67.51,67.51,5350666
95,2024-09-16,67.6,67.6,66.58,66.58,4039871
96,2024-09-17,66.68,67.97,66.4,67.97,2392584
97,2024-09-18,68.16,68.44,67.6,67.88,2847879
98,2024-09-19,67.88,68.07,67.6,67.88,1574276
99,2024-09-20,68.07,68.53,67.33,67.33,5234412
100,2024-09-23,67.7,67.79,67.23,67.51,2933886
101,2024-09-24,68.04,68.04,67.17,67.37,2080216
102,2024-09-25,67.37,67.46,66.7,66.7,4525095
103,2024-09-26,66.7,68.13,66.7,67.75,3987434
104,2024-09-27,67.85,68.23,67.75,68.04,2971446
105,2024-09-30,68.04,68.04,67.17,67.17,2046753
106,2024-10-01,67.27,67.75,67.17,67.17,2042595
107,2024-10-02,67.27,67.27,66.7,67.17,2142472
108,2024-10-03,67.27,67.56,66.98,67.37,2949988
109,2024-10-04,67.56,67.56,65.55,65.64,6140641
110,2024-10-07,65.83,66.41,64.3,64.3,5995180
111,2024-10-08,64.4,65.35,64.4,65.35,2890240
112,2024-10-09,65.45,65.74,64.97,64.97,3532506
113,2024-10-10,65.45,65.93,64.87,64.87,2625177
114,2024-10-11,65.26,65.35,64.68,64.87,2373079
115,2024-10-14,65.26,65.26,64.3,64.4,2825429
116,2024-10-15,64.4,64.59,63.92,64.01,3078240
117,2024-10-16,64.01,65.26,64.01,64.68,2006161
118,2024-10-17,64.78,65.07,64.49,64.78,1658879
119,2024-10-18,64.78,65.16,64.59,64.59,1599576
120,2024-10-21,64.59,65.07,64.4,64.49,1862336
121,2024-10-22,64.49,64.97,64.4,64.49,2253327
122,2024-10-23,64.49,64.78,64.4,64.49,1637360
123,2024-10-24,64.49,66.12,64.49,65.55,4369950
124,2024-10-25,65.74,65.74,65.07,65.16,2172351
125,2024-10-28,64.87,65.16,63.92,64.4,2927947
126,2024-10-29,64.49,64.49,64.01,64.2,2033574
127,2024-10-30,64.2,64.49,63.53,63.53,3437020
128,2024-10-31,63.82,63.82,62.57,63.34,5177693
129,2024-11-01,63.34,63.53,62.86,63.05,2182658
130,2024-11-04,63.15,63.82,62.86,62.86,2121224
131,2024-11-05,62.96,63.25,62.77,62.77,1063141
132,2024-11-06,63.25,63.25,62.57,63.05,2598835
133,2024-11-07,63.25,63.44,62.86,63.15,1154788
134,2024-11-08,63.25,63.44,62.86,62.96,1597360
135,2024-11-11,62.96,63.05,62.0,62.48,2742114
136,2024-11-12,62.48,62.96,62.1,62.19,1734699
137,2024-11-13,62.38,62.86,62.0,62.29,2773315
138,2024-11-14,62.29,62.29,62.0,62.29,1781237
139,2024-11-15,62.19,62.19,61.04,61.04,3697005
140,2024-11-18,61.04,61.52,60.56,60.56,3752034
141,2024-11-19,60.66,60.85,60.37,60.37,2736295
142,2024-11-20,60.37,61.14,60.27,60.95,2820172
143,2024-11-21,61.04,61.42,60.75,61.23,2255565
144,2024-11-22,61.23,62.1,61.23,61.62,2179029
145,2024-11-25,61.62,61.9,61.52,61.62,2450009
146,2024-11-26,61.81,62.29,61.71,62.1,1678113
147,2024-11-27,62.1,62.29,61.81,61.9,1588583
148,2024-11-28,62.29,62.29,61.81,61.81,1275083
149,2024-11-29,61.81,62.1,61.62,61.9,1107140
150,2024-12-02,61.9,62.1,61.52,61.81,1232443
151,2024-12-03,61.9,61.9,61.23,61.23,2427726
152,2024-12-04,61.14,61.23,60.66,60.66,2749303
153,2024-12-05,60.85,62.0,60.56,61.62,2221363
154,2024-12-06,61.81,62.1,61.42,61.42,1681167
155,2024-12-09,61.81,61.81,61.33,61.42,1764954
156,2024-12-10,61.42,61.71,61.23,61.23,1714418
157,2024-12-11,61.23,61.9,61.23,61.52,2027577
158,2024-12-12,61.52,62.19,61.52,61.9,2252448
159,2024-12-13,61.62,61.81,61.42,61.52,1399402
160,2024-12-16,61.52,62.48,61.52,62.29,2389158
161,2024-12-17,62.19,62.29,61.81,61.9,1206503
162,2024-12-18,62.29,62.38,62.0,62.0,1616812
163,2024-12-19,61.71,61.81,61.23,61.23,2629962
164,2024-12-20,61.33,62.29,61.33,62.29,3801451
165,2024-12-23,62.0,62.29,61.62,61.71,1350461
166,2024-12-24,61.71,62.0,61.42,61.62,1290269
167,2024-12-25,61.71,62.19,61.71,61.71,1304582
168,2024-12-26,62.0,62.0,61.62,61.62,1711855
169,2024-12-27,61.71,61.91,61.52,61.62,2445187
170,2024-12-30,61.42,61.52,61.14,61.14,1492983
171,2024-12-31,61.23,61.62,61.14,61.23,1643941
172,2025-01-02,61.42,61.62,60.94,60.94,1339894
173,2025-01-03,61.04,61.14,60.75,60.85,1779619
174,2025-01-06,60.85,61.04,60.36,60.36,2108984
175,2025-01-07,60.46,60.85,59.49,59.59,2811099
176,2025-01-08,59.88,59.98,59.11,59.59,2057556
177,2025-01-09,59.69,59.78,59.2,59.69,1504291
178,2025-01-10,59.59,59.78,59.2,59.2,1192540
179,2025-01-13,59.11,59.78,59.01,59.3,1104262
180,2025-01-14,59.3,59.69,59.2,59.49,1149837
181,2025-01-15,59.98,60.17,59.59,59.59,1219841
182,2025-01-16,60.17,60.46,59.59,59.78,1687939
183,2025-01-17,60.07,60.07,59.88,59.88,890720
184,2025-01-20,59.88,60.07,59.49,59.78,1638012
185,2025-01-21,59.88,59.98,59.49,59.69,1405722
186,2025-01-22,59.88,59.88,59.49,59.49,1762572
187,2025-01-23,59.49,60.17,59.49,59.88,1783676
188,2025-01-24,59.78,60.36,59.69,60.07,1578694
189,2025-02-03,60.07,60.07,58.43,58.43,7286722
190,2025-02-04,58.53,58.82,57.95,58.14,7132840
191,2025-02-05,58.33,59.4,58.33,59.4,3204519
192,2025-02-06,59.4,59.49,58.43,58.62,3033470
193,2025-02-07,58.62,59.11,58.53,58.72,2555237
194,2025-02-10,59.11,59.11,58.53,58.53,2597063
195,2025-02-11,58.53,58.62,58.04,58.33,3438061
196,2025-02-12,58.53,58.91,58.43,58.91,2759083
197,2025-02-13,58.91,58.91,58.33,58.62,2579334
198,2025-02-14,58.62,58.62,58.24,58.24,6406440
199,2025-02-17,58.33,58.53,57.95,57.95,3616591
200,2025-02-18,58.33,58.43,57.95,58.24,2442358
201,2025-02-19,58.24,58.82,58.24,58.72,3075728
202,2025-02-20,58.82,58.82,58.53,58.62,2632849
203,2025-02-21,58.72,59.98,58.53,59.3,4723060
204,2025-02-24,59.49,61.71,59.49,61.62,11520294
205,2025-02-25,61.81,61.81,60.46,60.75,3891802
206,2025-02-26,60.85,61.23,60.75,60.94,3639672
207,2025-02-27,61.04,61.04,60.07,60.07,3525626
208,2025-02-28,60.17,61.04,60.07,60.07,4180628
209,2025-03-03,60.65,61.04,60.17,61.04,3614305
210,2025-03-04,61.04,61.62,60.75,61.33,6046776
211,2025-03-05,61.42,61.42,60.56,60.56,2281264
212,2025-03-06,60.56,60.75,60.07,60.75,3129517
213,2025-03-07,60.75,60.85,60.27,60.56,2659929
214,2025-03-10,60.85,60.85,60.36,60.36,2533190
215,2025-03-11,60.17,60.36,59.98,60.27,2290854
216,2025-03-12,60.36,60.65,60.07,60.07,2761535
217,2025-03-13,60.17,60.75,59.78,59.88,5106563
218,2025-03-14,60.27,60.56,59.98,59.98,2700423
219,2025-03-17,60.27,61.23,60.27,60.85,4066437
220,2025-03-18,60.94,60.94,60.36,60.36,3285983
221,2025-03-19,60.56,60.65,59.78,60.17,3042976
222,2025-03-20,60.07,60.07,59.2,59.69,3895453
223,2025-03-21,59.69,59.69,59.11,59.2,3331858
224,2025-03-24,59.3,59.88,59.01,59.3,2493893
225,2025-03-25,59.59,59.59,59.11,59.3,2327043
226,2025-03-26,59.4,59.78,59.11,59.11,1849811
227,2025-03-27,59.11,59.4,59.01,59.01,2233560
228,2025-03-28,58.91,59.01,58.14,58.24,5443940
229,2025-03-31,58.72,59.49,58.53,58.53,5308209
230,2025-04-01,59.11,59.11,58.24,58.72,3137933
231,2025-04-02,58.62,59.3,58.43,58.43,4687947
232,2025-04-03,57.47,57.56,54.37,54.57,16961756
233,2025-04-04,52.15,56.79,51.96,56.5,9790843
234,2025-04-08,54.76,54.95,52.64,52.64,13341671
235,2025-04-09,49.64,53.31,49.64,50.22,9895364
236,2025-04-10,53.7,53.7,53.7,53.7,1515755
237,2025-04-11,53.7,56.4,53.7,55.53,9178387
238,2025-04-14,55.92,55.92,54.57,54.95,5487359
239,2025-04-15,54.76,55.53,54.37,54.37,4173838
240,2025-04-16,54.47,55.24,54.08,54.08,3741175
241,2025-04-17,53.6,54.66,52.93,54.08,7226501
242,2025-04-18,54.76,55.34,54.66,54.66,3042348
243,2025-04-21,54.86,55.15,54.57,54.76,3024998
244,2025-04-22,54.66,54.66,52.06,54.08,6966814
245,2025-04-23,54.86,55.34,54.47,54.47,3589382
246,2025-04-24,54.57,54.86,54.28,54.37,1959766
247,2025-04-25,54.57,56.31,54.57,56.31,8125834
248,2025-04-28,56.31,56.31,55.53,55.53,2670118
249,2025-04-29,55.53,55.92,55.24,55.63,2560129
250,2025-05-05,55.53,55.63,54.95,54.95,4242785
251,2025-05-06,55.05,55.44,54.95,54.95,2505912
252,2025-05-07,54.95,55.73,54.95,55.24,2910910
253,2025-05-08,55.24,55.82,55.24,55.44,3266128
254,2025-05-09,55.73,56.6,55.73,55.73,3839463
